景点名字,经纬度,地址,已售票数
奇石馆,"110.489653,24.732495",广西省桂林市阳朔县高田镇十里画廊,0
虞山公园,"110.308018,25.305286",广西壮族自治区桂林市叠彩区中山北路70号（西门）,0
乐满地矿温泉,"110.685531,25.593017",广西桂林市兴安县志玲路，乐满地度假酒店内,0
龙胜布尼梯田·加乌瀑布,"110.184315,25.889374",广西桂林龙胜县泗水乡周家村布尼梯田·加乌瀑布,0
桂林园林植物园,"110.282837,25.260128",广西省桂林市象山区环城西一路117号,0
桂林园博园,"110.31577,25.066245",广西省桂林市雁山区雁山镇,0
桃花江山水画廊,"110.295819,25.274449",广西省桂林市秀峰区中山路,0
奇幻冰雪王国阳朔站,"110.500618,24.78015",广西省桂林市阳朔县阳朔西街口肯德基对面奇幻冰雪王国阳朔站,0
冒险树,"110.320175,25.27632",广西桂林市七星景区内骆驼山旁。,0
阳朔动感6D电影,"110.500736,24.780544",广西省桂林市阳朔县西街口(世纪华联超市内),0
西街地宫幻境艺术馆,"110.500721,24.780544",广西桂林市阳朔县西街地下商场L1号,0
桃花江,"110.270542,25.328512",广西壮族自治区桂林市秀峰区灵川县,0
桂林森林吊桥,"110.461772,25.11398",桂林市大圩镇桂林漓江,0
桂林龙胜温泉国家森林公园,"110.2189,25.897298",广西壮族自治区桂林龙胜各族自治县144县道,0
云智慧桂林龙胜温泉酒店,"110.219023,25.897206",广西省桂林市龙胜江底乡（矮岭温泉源头旁）,0
阳朔梦幻冰雪世界,"110.499597,24.779436",广西省桂林市阳朔县阳朔西街口,0
阳朔真人CS,"110.457424,24.763344",广西省桂林市阳朔县旅游景区遇龙河畔,0
葡萄山风景区,"110.383991,24.916396",广西壮族自治区桂林市阳朔县098县道葡萄山风景区,0
观石堂鸡血玉博物馆,"110.279502,25.310066",广西省桂林市秀峰区芦笛路停车场对面,0
秦城水街,"110.690729,25.604983",广西自治区桂林市兴安县双灵路,0
皇家宝贝儿童乐园,"110.306939,25.310924",广西省桂林市叠彩区沃尔玛三楼直升电梯旁,0
孔庙,"110.83400952062,24.837215610272",广西省桂林是恭城县西山脚下,0
桂林公园,"121.424374,31.171557",上海市徐汇区桂林路80号,0
桂林天湖滑雪场,"110.898965,26.143404",广西壮族自治区桂林市全州县桂林天湖生态旅游度假区滑雪场,0
阳朔大印人文景观园,"110.49889,24.741303",广西壮族自治区桂林市阳朔县抗战路（十里画廊工农桥旁）,0
桂林雁山园景区,"110.31601134785,25.084300006949",广西壮族自治区桂林市雁山,0
榕湖和杉湖,"110.295805,25.281347",广西省桂林市秀峰区阳桥的两侧,0
炎井温泉,"110.959136,26.312738",广西壮族自治区桂林市全州县大西江镇炎井村委,0
玻璃桥,"110.299155,25.280905",广西壮族自治区桂林市秀峰区榕湖北路4号市粮食局对面,0
尚水街,"110.304575,25.281188",桂林市秀峰区滨江路15号,0
刘三姐水上公园,"110.535487,24.779548",广西省桂林市阳朔县城至普益乡留公村一段18公里漓江下游,0
中心广场,"110.302225,25.281531",广西壮族自治区桂林市秀峰区南环路11-2号,0
海洋村,"110.573701,25.311969",广西壮族自治区桂林市灵川县海洋乡海洋村,0
华江漓源瀑布,"110.481342,25.88085",广西省桂林市兴安县华江乡高寨村猫儿山角下猫儿山停车场向左2公里处,0
海洋银杏,"110.46137193399,25.11378634694",广西壮族自治区桂林灵川县,0
龙门瀑布,"110.221063,25.717732",广西桂林市灵川县青狮潭镇东源村委畔头村旁,0
徐悲鸿故居,"110.496186,24.778484",广西壮族自治区桂林市阳朔县县前街5号,0
仙境湖峡谷漂流,"110.936535,24.378087",广西省桂林市平乐县,0
桂林金银寨景区,"110.328429,25.041302",广西省桂林市雁山区大埠路口金银寨景区,0
阳朔单车骑行,"110.484822,24.784194",广西省桂林市阳朔县阳朔地中海大酒店,0
月牙山,"110.314882,25.277476",广西省桂林市七星区,0
李宗仁故居,"110.007796,25.174203",广西桂林市临桂县两江镇浪头村的天马山脚下,0
龙泉塔,"110.50016,24.782451",广西壮族自治区桂林市阳朔县,0
兴坪古戏台,"110.536724,24.922062",广西省桂林市阳朔县兴坪镇榕潭街,0
桂林民族风味楼,"110.323175,25.259688",广西省桂林市七星区骖鸾路20号,0
镇湘塔,"111.095237,25.947482",广西壮族自治区桂林市全州县,0
歌仙刘三姐,"110.298309,25.285337",广西壮族自治区桂林市秀峰区解放西路15号,0
阳朔茶观园景区,"110.497005,24.852575",广西壮族自治区桂林市阳朔县白沙镇芭林村,0
骆驼山,"110.319542,25.275675",桂林市七星区七星路1号七星景区内,0
桂林山水高尔夫,"110.391789,25.286979",广西桂林市七星区朝阳乡杨门店,0
文庙,"110.833942,24.837177",广西桂林市恭城瑶族自治县城,0
武庙,"110.833218,24.8369",广西省桂林市恭城县,0
月岭古民居,"111.215885,25.665084",广西桂林灌阳县文市镇月岭村,0
榕津古镇,"110.860831,24.618901",广西平乐县张家镇榕津村,0
大正温泉,"110.292747,25.2511",广西壮族自治区桂林市象山区崇信路47号,0
栖霞寺,"110.30051712112,25.273007414984",广西桂林桂林七星景区内普陀山西麓,0
荔浦天河瀑布景区,"110.183958,24.599259",广西壮族自治区桂林市荔浦县蒲芦乡,0
桂林会仙岩,"110.32358838044,25.272930686899",广西壮族自治区桂林市七星区会仙路,0
大野神境,"110.592467,25.142678",广西省桂林市灵川县大境瑶族乡　,0
水缤纷海洋王国,"110.342098,25.261799",广西省桂林市七星区东二环湖塘路8号,0
碧莲洞景区,"110.49395,24.781829",广西壮族自治区桂林市阳朔县阳朔镇碧莲巷阳朔公园碧莲洞景区,0
虞帝庙,"110.308098,25.30591",广西省桂林市叠彩区中山北路70号虞山公园内,0
小东江竹排,"110.3193,25.278141",广西省桂林市七星区七星路1号七星公园内,0
桂林海洋世界,"110.293066,25.253505",广西省桂林市象山区中山南路2号,0
阳朔袖珍国,"110.49762,24.759762",广西省桂林市阳朔县十里画廊,0
漓江（唐人街-林家州）竹筏漂流,"110.507138,24.779209",广西省桂林市阳朔县观莲路唐人街码头,0
兴安水街秦皇宫,"110.679368,25.619459",广西壮族自治区桂林市兴安县,0
桂林洋海滨,"110.521969,20.019822",海南省海口市琼山区,0
桂林蝴蝶谷瑶寨,"110.095692,25.537033",广西省桂林市临桂县宛田乡东宅江村,0
九马画山峡谷漂流,"110.48285,24.931158",广西省桂林市阳朔县兴坪镇,0
世纪冰川大溶洞,"110.619647,25.623513",广西省桂林市兴安县,0
龙胜平安壮寨,"110.132367,25.761648",广西壮族自治区桂林市龙胜县和平乡东部龙脊景区内,0
少数民族观光古寨,"0.0,0.0",广西壮族自治区桂林市秀峰区少数民族观光古寨景区,0
桂林大剧院,"110.170599,25.25218",广西桂林市临桂县桂林大剧院,0
熊虎山庄,"110.199649,25.268886",广西省桂林市临桂县机场路机场路沙塘大圆盘,0
桂林多耶古寨 蛇王李景区,"110.32843,25.041304",广西省桂林市雁山区大埠路口（桂阳公路30公里往愚自乐园路口）,0
永宁州古城,"109.79160919485,25.180978765378",广西桂林市永福永宁州古城百寿镇,0
富里桥,"110.397245,24.83382",广西壮族自治区桂林市阳朔县白沙镇观桥村公所正方村西350米处,0
板峡湖,"110.1048734945,24.833389358004",广西桂林市永福县堡里乡,0
龙门水岩,"110.4859415803,24.733061033385",广西壮族自治区桂林市阳朔县龙门村,0
穿山岩,"110.582602,24.8878",广西壮族自治区桂林市穿山公园内,0
山水会城市温泉,"110.301604,25.280036",桂林市秀峰区杉湖北路5号（近榕湖）,0
阳朔戏楼,"110.49981,24.769975",广西省桂林市阳朔县荆凤南路一号（西街往南一公里）,0
侗家古寨,"110.288293,25.148259",广西桂林市雁山区019乡道与321国道交叉口向西1000米,0
万景竹筏漂流,"110.47754,24.748015",广西壮族自治区桂林市阳朔县阳朔县水厄底码头,0
富安码头,"110.333042,25.417043",广西壮族自治区桂林市阳朔县,0
宝鼎瀑布,"110.705564,26.042042",广西桂林市资源县,0
千家洞,"111.126826,25.551158",广西省桂林市灌阳县城东南18公里,0
青狮潭,"110.190105,25.488602",广西壮族自治区桂林市灵川县青狮潭,0
大岭山桃园,"110.797837,24.918592",桂林市恭城瑶族自治县西岭乡大岭山屯,0
桂林海底龙宫,"110.811482,25.470689",广西壮族自治区桂林市兴安县漠川乡榜上村,0
X空间密室逃脱（桂林翊武店）,"110.300286,25.290164",广西桂林市翊武路40-1号（桂林医学院与十三中学后门中段）,0
江头洲,"110.280792,25.535545",广西省桂林市北郊32公里的灵川县九屋镇江头洲村,0
美龄桥,"110.690675,25.60469",广西桂林市兴安县双灵路,0
桂林百货大楼童乐馆淘气堡,"110.298527,25.278027",广西省桂林市秀峰区中山中路14号百货大楼7楼童乐馆，淘气堡,0
桂林西站,"110.274158,25.360749",广西省桂林市灵川县定江镇定江村,0
书童山,"110.51795,24.773234",广西桂林阳朔县城东南田家河与漓江交汇处,0
广西旅游直通车,"110.295267,25.261167",广西省桂林市桂林市区,0
老山界红军长征纪念馆,"110.468697,25.795375",桂林市兴安县华江乡同仁村（忘忧谷景区内）,0
白面瑶寨,"110.196024,25.909217",广西壮族自治区桂林市龙胜各族自治县X144,0
