景点名字,经纬度,地址,已售票数
陶祖圣境,"119.734367,31.19148",江苏省无锡市宜兴市湖滏镇竹海村36号,6
恐龙人俱乐部,"120.01322,31.828236",江苏省常州市新北区河海东路60号迪诺水镇19号楼,54
汉文化景区,"117.228773,34.249545",江苏省徐州市云龙区兵马俑路1号,50
南京开心茶馆,"118.76585,32.045458",江苏南京鼓楼区胜棋里9号,62
中国漕运博物馆,"119.151557,33.514383",江苏淮安淮安区漕运广场,6
淮安府署,"119.152085,33.516746",江苏省淮安市淮安区东门大街38号淮安府署,12
盂城驿,"119.4445,32.776671",江苏省扬州市高邮市南门外馆驿路13号,10
海云星自在岛温泉,"119.530214,32.42897",江苏省扬州市生态科技新城泰安镇新万福路98号,45
雨花台,"118.785863,32.009063",江苏省南京市雨花台区雨花路215号,12
狼山,"120.895072,31.955658",江苏省南通市崇川区狼山镇临港路18号,10
千灯古镇,"121.009335,31.272657",江苏省昆山市千灯镇秦峰路1788号（近秦峰中路）,14
阳澄湖莲花岛,"120.806892,31.444907",江苏省苏州市相城区阳澄湖生态休闲旅游度假区,10
周庄纸箱王主题创意餐厅,"120.854824,31.119877",江苏省苏州市昆山市周庄镇全福路19号,91
丹顶鹤自然保护区,"120.653,33.3767",中国江苏盐城,39
三国村,"119.107646,31.91462",江苏省南京市江宁区淳化街道淀淮社区马场山三国村,85
镇江中国醋文化博物馆,"119.486406,32.108264",江苏省镇江市丹徒区广园路66号,8
音乐台,"118.861977,32.060752",江苏省南京市玄武区灵谷寺路,2
金鹰海洋世界,"119.962066,31.77547",江苏省常州市中心繁华商业区吊桥路25号,12
张家港梦幻海洋王国,"120.55153,31.843178",江苏省苏州市张家港市吾悦广场负一层,2
天宁禅寺,"119.976285,31.779932",江苏省常州市天宁区罗汉路1号,12
溱潼古镇,"120.104311,32.656733",江苏省泰州姜堰市鹿鸣西路溱潼镇,10
高邮湖芦苇荡湿地公园,"119.417332,33.011502",江苏省高邮市界首镇大码头西3000米,71
巴厘原墅沃阁温泉,"119.021196,32.049697",江苏省南京市江宁区汤山镇古泉村侯家塘228号,48
泰州凤城河田园牧歌景区,"120.02898,32.565309",江苏泰州市农业开发区红旗种业北侧（现代畜牧科技园）,34
红山体育公园,"119.070819,32.336897",江苏省扬州市仪征市锦绣大道,71
艾山九龙景区,"117.976635,34.520874",江苏省徐州邳州市艾山九龙风景区,4
城市绿谷,"120.792011,32.034164",江苏省南通市港闸区芦泾港芦泾路10号,43
渔洋山,"120.383024,31.222512",江苏省苏州市吴中区太湖大桥2号桥口,12
云龙涧,"119.35957,34.673681",江苏省连云港市新浦区开发区南侧金苏村,2
洋河酒厂文化旅游区,"118.381394,33.781358",江苏省宿迁市洋河镇中大街118号,4
溱湖湿地农业生态园,"120.074571,32.61929",江苏省泰州姜堰市溱湖风景区,88
南通博物苑,"120.875494,32.017074",江苏省南通市濠南路19号,4
朝天宫,"118.781699,32.040399",江苏省南京市莫愁路188号,24
大阳山植物园,"120.462594,31.333363",江苏省苏州市新区浒墅关经济开发区阳山环路8号,79
三山岛,"120.295607,31.028914",江苏省苏州市吴县,63
大纵湖,"119.818709,33.164034",江苏省盐城市盐都区大纵湖景区,6
周庄生命奥秘博物馆,"120.853738,31.127722",江苏省苏州昆山市周庄镇大桥路82号,4
徐州乐园糖果世界,"117.132331,34.231445",徐州市云龙湖风景区玉带大道9号,14
阳山碑材,"119.008109,32.067989",江苏省南京市中山门外汤山街道坟头村明文化村阳山碑材,95
绿羊温泉农场,"120.570904,31.643889",江苏省无锡市锡山区羊尖镇丽安村大船舫头,88
震泽古镇,"120.515956,30.918345",江苏省苏州市吴江市震泽镇,57
荡口古镇,"120.55571,31.532893",江苏省无锡市锡山区鹅湖镇蘅芳璐,28
红梅公园,"119.980434,31.781045",江苏省常州市天宁区罗汉路1号,99
海州湾海洋公园,"119.247962,34.946377",江苏省连云港市赣榆区海头镇海州湾旅游度假区,32
灵谷洞,"119.753952,31.22689",江苏省无锡市宜兴市,49
白象湾快乐生态园,"120.46312,31.289269",江苏省苏州市吴中区木渎镇藏北地区,84
古樟园,"120.307858,31.129669",江苏省苏州市吴中区金庭镇西山风景区（近堡村环山公路）,30
月季园,"120.714797,31.462919",江苏省苏州市相城区,66
扬州博物馆,"119.378118,32.3967",江苏省扬州市文昌西路468号（扬州国际展览中心西侧）,2
口岸雕花楼景区（柴墟古镇）,"119.885586,32.308983",江苏省泰州市高港区,16
无锡市蠡湖中央公园,"120.253376,31.526275",江苏滨湖区环湖路1881号蠡湖中央公园内(双虹路口),89
南京植物博览园,"118.841136,32.060186",江苏省南京市玄武区中山门外前湖后村1号,4
愚园,"118.78083,32.022717",江苏省南京市秦淮区集庆路胡家花园2号,8
鸿山遗址博物馆,"120.513452,31.498904",江苏省无锡市锡山区鸿山街道飞凤路8号,2
扬州天乐湖欢乐谷,"119.134662,32.408056",江苏扬州仪征市谢集乡四庄村江扬路,6
南京雨发生态旅游区,"118.542833,32.040722",江苏省南京市浦口汤泉街道雨发生态园,4
梅李聚沙园,"120.882799,31.711352",江苏省苏州市常熟市梅东路,48
泰州凤城河风水博物馆景区,"119.932746,32.484581",江苏省泰州市海陵区鼓楼南路三水湾街区水街19号,2
太湖游船、快艇(太湖公园码头),"120.450944,31.225793",江苏省苏州市吴中区,90
扬州古运河,"119.435822,32.362876",江苏省扬州市邗江区,12
江阴嘉茂国际花鸟园,"120.299681,31.767519",江苏省江阴市青阳镇霞客大道与新青璜路交界处,38
桃花涧,"119.14904,34.546493",江苏省连云港市海州区锦屏镇桃花村桃花涧风景区,83
玉女潭,"119.772038,31.243517",江苏省无锡宜兴市湖滏镇张阳村,76
扬州马可波罗花世界,"119.525574,32.415528",江苏省扬州市生态科技新城自在岛花海路1号马可波罗花世界乐园,80
沈万三故居,"120.864508,31.118359",江苏省苏州市昆山市镇周庄欢乐世界旁,85
无锡海洋馆,"120.242765,31.588988",江苏省无锡市滨湖区钱荣路99号,6
云海温泉,"120.087079,32.621556",江苏省泰州姜堰市溱湖大道2号,14
中国陶都陶瓷城,"119.838398,31.265102",江苏省宜兴市丁蜀镇公园西路,10
杨侍温泉,"120.038737,33.287632",江苏盐城盐都区郭猛镇杨侍村郭西北路888号,62
蟠桃山佛教文化景区,"117.275513,34.301023",江苏省徐州经济技术开发区宝莲寺路,12
东林书院,"120.315031,31.582805",江苏省无锡市崇安区解放东路867号,2
南京长江大桥公园,"118.758926,32.116521",江苏省南京市下关区宝塔桥东街7号,70
连云港云台山,"119.244469,34.59998",江苏省连云港市连云区东北30多公里处,62
宜兴龙池山自行车公园,"119.708042,31.213155",江苏省无锡市宜兴市张渚镇阳羡茶产业园内,52
仪征捺山地质公园,"119.168018,32.4153",江苏省扬州市仪征市月塘镇环山路1号,14
泰州凤城河画舫游船,"119.933096,32.489181",江苏省泰州市东南园10号,12
金凤凰温泉度假村,"120.635953,31.790541",江苏省苏州张家港市凤凰镇金谷路1号,87
燕园,"120.749708,31.654874",江苏省苏州常熟市古城区,62
沧浪亭,"120.631982,31.300658",江苏省苏州市城南沧浪区人民路沧浪亭街3号,32
好莱坞魔法城,"118.823612,31.970204",江苏省南京市江宁区双龙大道1539号,4
南京梅花节,"118.846179,32.058113",江苏省南京市玄武区明陵路与植物园南路,68
白龙观,"120.116269,31.775349",江苏常州、无锡交界、横山桥镇,54
